Title,Mission,Mission,Program Description,Type of service,Other type of service,"Headquarter Location (City, State)",States of Operation,Website Address,Organization Type,Year Started,Subject Offered,Other subjects,Grade Levels,Languages Offered,Other languages,Type of Tutor,Other tutor type,Delivery Mode,Percentage of tutors who can speak a language other than English,Race/Ethnicity breakdown of tutors,Most recent number of students served,Number of Minutes Per Session,Number of Sessions Per Week,Number of Weeks Per Program,Student-Tutor Ratio,Student/Tutor Ratio Per Program,Setting,Family Engagement,Family Engagement Description,Randomized controlled trial (RCT) study conducted?,RCT Citation,RCT effect size,Quasi-experimental (QED) study conducted?,QED citation,QED effect size,Customer Type,Cost to District/ School/ Non-Profit ,Cost to Student ,Contact
TMS/Brown University K-12 Tutoring Initiative,Tutoring,Tutoring,"Brown University's online tutoring program is a free resource and service for all students of current partner K-12 schools offered through the Annenberg Institute, the Swearer Center and Tutor Matching Services. The Annenberg Institute's mission is rooted in conviction that improved educational equality leads to enriched opportunities for children and youth, ultimately contributing to more just and flourishing societies. Coupled with the Swearer Center's foundational components: community engagement, engaged scholarship, and social innovation, we strongly believe this program will have positive implications including higher graduation rates, higher rates of matriculation into a four-year university, higher grades on standardized testing, more positive attitude towards school and life, and higher self-esteem.","Tutoring Program, Other",Tutor Matching Service (Brown),"Providence, Rhode Island","Rhode Island, Virtual",https://tutormatchingservice.com/#/marketplace?school_name=Brown%20University%2…,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade","English, Spanish",,"Volunteer, Other",Brown University college students and graduates.,"In-Person, Virtual","95% English speakers, 5% Spanish",,,45-60,3,,1:01,,Out of School,,"Share flyers and information with schools, via parent list-servers, community organizations and social media.",No,,,No,,,"Parent, School, Student",Free,Free,
Tutor Corps,"Prioritize finding the perfect expert tutor to support your child, wherever they are in their educational journey.","Prioritize finding the perfect expert tutor to support your child, wherever they are in their educational journey.",Tutors work one-on-one with students in all grade levels to help them achieve their educational goals. We provide both remedial support for struggling students and enrichment for those who want to hone their skills.,Tutoring Program,,"Mill Valley, California",Virtual,www.tutorcorps.com,For Profit,2002,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,"Paraprofessional, Teacher, Other",College graduates,"In-Person, Virtual",Varies,,,,Varies based on request,,1:01,,"During School, Out of School",,"Yes for initial consultation to see if tutoring is a good fit, and for additional scheduling and check in.",No,,,No,,,"District, Parent, School","Hourly fee of typically $140/hour if online, and $195/hour if in person.","Hourly fee of typically $140/hour if online, and $195/hour if in person.",
TutorChat,,"We are on a mission to make high-impact tutoring affordable for all families, regardless of income level, while giving high school students (our tutors) research-backed grit + growth mindset training that helps them develop and apply future-proof skills as volunteer tutors, and sets them up to stand out on their college applications.","Students in K-12 are paired with high school students who excel in math and English; they meet on a fixed weekly basis, with students meeting with the same tutor each time, ensuring that the student and tutor are able to build meaningful, high-impact relationships with one another. Prior to tutoring, tutors go through professional, research-based training on how to build grit and growth mindset skills in students while helping them with academics; they then apply these skills to their work as tutors and in doing so, gain true competency in coaching, communication and mindset development that they can use for the rest of their lives. Additionally, our tutors receive community service hours for their time and, thus, allow us to keep the fees for this high-quality, long-term personal tutoring accessible to families regardless of their income level.",Tutoring Program,,"Carlsbad, CA","California, Connecticut, Illinois, New York, North Carolina",https://www.tutorchat.org/,Nonprofit,2018,"English Language Arts (ELA), Math, Reading",,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,"Peer, Volunteer",,Virtual,,"10% Hispanic or Latino, 69% Asian, 21% White",,45,,36,1:01,,Out of School,,"We provide families with feedback on sessions, handle scheduling requests and ensure that their goals for their children being tutored are met.",No,,,No,,,Parent,,$49/month,
Tutor.com,,"Our core philosophy is that when a learner needs help, the best way to get it is right away from an experienced expert. Our experts are online 24/7, ready to help. Our mission is to help every learner first realize and then reach their full potential.","For 21 years and 20 million tutoring sessions, Tutor.com has been partnering with Kâ€“12 schools, higher education institutions, libraries, organizations, associations, and the U.S. military to provide learners from elementary school through college, graduate school, and beyond with highly effective, 1-to-1 academic and professional support. Tutor.com is easy to use (no apps to download) and robust enough to provide sophisticated functionality. Through our partner institutions, tens of millions of learners can readily access:


	1-to-1, online, on-demand tutoring with fully vetted expert tutors and career coaches in 250+ subjects as well as test-prep areas
	24/7 drop-off reviews of writing assignments, math problems, cover letters, and resumes
	Video lessons for math/ELA and AP® subjects
	The Princeton Review SAT®/ACT® Essentials with practice tests, drills, video lessons, and detailed score reports
	The Princeton Review practice tests for GMAT®, GRE®, LSAT®, and MCAT®
	Practice quizzes for ASVAB, math, science, and English
	Tutor.com SkillsCenter Resource Library


Learner satisfaction rates attest to the extraordinary level of support that Tutor.com provides. In post-session surveys, 96 percent reported Tutor.com had helped them complete their assignments; 97 percent indicated they would recommend Tutor.com to a friend; and 99 percent said they were glad their institution or organization offered them access to Tutor.com.","Tutoring Program, Technology Platform",,"New York, NY","Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, Virtual",https://tutor.com,For Profit,2020,"English Language Arts (ELA), Math, Reading, Science, Social Studies, Other","250+ subjects for K-12, college and graduate school, and career","Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","English, Spanish",,,,Virtual,,,,,Varies,,1:01,,"During School, Out of School",,,No,,,No,,,"District, Nonprofit, School",Based on specific program needs,Free,
UPchieve,,"UPchieve works to democratize access to academic support so that all students have an equal opportunity to finish high school, attend college, and achieve upward mobility.","UPchieve connects low-income students (13+) with free, on-demand math tutoring, science tutoring, and college counseling though their interactive platform. Students can use UPchieve 24/7 from any device (including smartphones, tablets, and computers) to connect one-on-one with a live Academic Coach. Using the interactive whiteboard and text-based chat, students can get help with anything from finishing their homework to preparing for an exam. There is no audio or video to preserve student safety and comfort.","Tutoring Program, Technology Platform, Academic Intervention",,"Brooklyn, New York","Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, Virtual",https://upchieve.org/students,Nonprofit,2018,"Math, Science, Other",College Counseling,"8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,Volunteer,,Virtual,,,6000,Unlimited,Unlimited,N/A,1:01,,"During School, Out of School",,,No,,,No,,,"District, Nonprofit, School, Student",$3000 - $8000 partnership fee depending on school/district size ($3-$10 per student). There is no cost to nonprofits for partnering with us.,0,
Virtual Studies,,We are a group of high school students offering free online tutoring dedicated to those struggling with online school.,We are completely student driven and all our tutoring services are completely virtual allowing us to come into contact with as many students as possible.,"Tutoring Program, Technology Platform, Other",Virtual Tutoring,"Glen Ridge, New Jersey","New Jersey, Virtual",https://www.virtualstudies.org,Nonprofit,2021,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies",,"1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade","Chinese, English",,"Peer, Volunteer",,Virtual,"20% speak Chinese, 10% speak Hindi",,,,,,6:01,,Out of School,,,No,,,No,,,"District, Nonprofit, School, Student",0,0,
Amira Learning,,Amira's mission is to help every student become a motivated and masterful reader.,"Amira is an AI-powered Reading Coach, backed by 20+ years of R&D, that listens to K-3 students read out loud, assesses mastery, and delivers personalized 1:1 tutoring. Amira's mission is to help every child become a motivated and masterful reader. Amira is currently used in >250 school districts across 49 states, supported via our partnership with HMH. 

Our embedded assessment is the licensed, digital version of the TPRI, built on decades of research at the University of Texas Health Science Center. The assessment includes a dyslexia screener that identifies dyslexia risk at 96% accuracy.","Tutoring Program, Technology Platform, Academic Intervention, Other","ORF Assessment, Dyslexia Screener","Las Vegas, Nevada","Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, Virtual",https://www.amiralearning.com,For Profit,2018,Early Literacy,,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade",English,,Other,Amira is an AI-powered virtual tutor that delivers 1-to-1 micro-interventions as the child reads aloud.,Virtual,,,"146,500",30-60,Web-based - unlimited access. We generally recommend 2+ sessions/week.,Unlimited,1:01,,"During School, Out of School",,"The school version of Amira has a parent report that provides information about student progress over time, specific suggestions for ways to help your child (based on their actual reading to date) and stats such as most recent WCPM, vocabulary size, and estimated reading age.",Yes,"Mostow, J., Aist, G., Burkhead, P., Corbett, A., Cuneo, A., Rossbach, S., & Tobin, B. (2002). Independent versus computer-assisted reading: Equal time comparison of sustained silent reading to an automated reading tutor that listens. Paper presented at the 9th Annual Meeting of the Society for the Scientific Study of Reading, Chicago, IL.

Mostow, J., Aist, G., Burkhead, P., Corbett, A., Cuneo, A., Eitelman, S., Huang, C., Junker, B., Sklar, M.B., &
Tobin, B. (2003). Evaluation of an automated Reading Tutor that listens: Comparison to human tutoring and classroom instruction. Journal of Educational Computing Research, 29(1), 61-117.

Mostow, J., Aist, G., Huang, C., Junker, B., Kennedy, R., Lan, H., Latimar, D., O'Connor, R., Tassone, R., Tobin, B. and Wierman, A. (2003b). Four-Month Evaluation of a Learner-controlled Reading Tutor that Listens. In Speech Technology for Language Learning, V.M. Holland and F.N. Fisher, Eds. Swets & Zeitlinger Publishers, Lisse, The Netherlands.

Mostow, J. (2012, June). Why and how our automated reading tutor listens. In Proceedings of the International Symposium on Automatic Detection of Errors in Pronunciation Training (ISADEPT) (pp. 43-52).

Mostow, J., and Aist, G. (2001) Evaluating tutors that listen: An overview of Project LISTEN. In K. Forbus and P. Feltovich, (Eds.) Smart Machines in Education, pp. 169-234. MIT/AAAI Press.",Effect sizes in RCTs have ranged from 0.6 to 1.2 s.d. in studies lasting 10 weeks to 1 year,No,,,"District, Nonprofit, School",$20 per student per year,"Cost to Student for the School/District version is $0. For the direct-to-parents / B2C version, cost is $7.99 per month",
Cignition,Transforming how students view and learn math.,Transforming how students view and learn math.,Cignition's unique math tutoring program targets significant improvements in elementary through high school math outcomes as well as improvements in student attitudes towards math.,Tutoring Program,,"Portola Valley, California",California,www.cignition.com,For Profit,2014,Math,,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","English, Spanish",,Teacher,,Virtual,100%-English; 20%-Spanish,,5000,,Varies depending on student needs,,1:1 up to 4:1,,"During School, Out of School",,,Yes,https://digitalpromise.dspacedirect.org/handle/20.500.12265/94,0.47,Yes,,,"Parent, School",Variable depending on session size (1:1 to 4:1),Free when part of school program; $20 per 30 minute session for at home tutoring.,
City Year,,City Year's mission is focused on advancing educational equity and developing diverse leaders who can work across lines of difference to create positive change.,"City Year's AmeriCorps members serving as Student Success Coaches (SSCs) are diverse young adults who serve full-time on teams in systemically under-resourced K-12 schools. They implement City Year's core Whole School Whole Child program, forming near-peer, developmental relationships and providing research-based, integrated social, emotional and academic supports for students, combined with whole classroom and school supports to enable rich learning environments. City Year's SSCs partner with teachers to provide supplemental capacity and personalize the learning environment. They use youth development strategies and student data on social emotional skills and early warning indicators of high school graduation and post-secondary success, such as attendance, behavior and ELA and math course performance, to accelerate students' holistic development.","Tutoring Program, Academic Intervention, Other",Student Success Coaching,"Boston, Massachusetts","Arkansas, California, Colorado, Florida, Illinois, Louisiana, Massachusetts, Michigan, New Hampshire, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Washington, Wisconsin, Virtual",https://www.cityyear.org/about/,Nonprofit,1988,"English Language Arts (ELA), Math, Reading, Social Studies",,"3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade",English,,"Tutoring Staff, Other",AmeriCorps members,"Blended, In-Person",,"Hispanic or Latino- 17%, American Indian or Alaska Native-1%, Asian- 7%, Black or African American 37%, White 37%",38000,30,3,26,1:1-4:1,,"During School, Out of School",,"Calls home, family literacy and engagement events.",Yes,https://www.cityyear.org/wp-content/uploads/2019/10/Addressing-Early-Warning-Indicators_2016.pdf,,Yes,https://www.cityyear.org/wp-content/uploads/2019/10/PSAstudy2015.pdf https://www.cityyear.org/wp-content/uploads/2020/05/EGC_CityYearReport_…,,"District, Parent, School, Student",This direct cost is funded through public education and federal AmeriCorps dollars.,0,
Experience Corps (AARP),,"Improve children's literacy, strengthen our communities, and help develop cultures of inspiration in our schools and support our hardworking teachers.",AARP Foundation's Experience Corps is an intergenerational volunteer-based tutoring program that is proven to help children who aren’t reading at grade level become great readers by the end of third grade.,"Tutoring Program, Other",,,,https://www.aarp.org/experience-corps/,Nonprofit,,Reading,,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade",,,Volunteer,,"In-Person, Virtual",,,9643,,,,1:1 or small group,,"During School, Out of School",,This is done at the local level. Program managers work collaboratively with schools to engage families in supporting literacy growth at home.,Yes,https://openscholarship.wustl.edu/cgi/viewcontent.cgi?article=1848&cont…,ES = +0.12,No,,,School,"$5-10K per school, per year, dependent on number of students served",Free,"Varies by city.
Click here https://www.aarp.org/experience-corps/experience-corps-volunteer/
General inquiries : ExperienceCorps@aarp.org"
Future Forward Literacy,"Reading, tutoring, and family engagement.","Reading, tutoring, and family engagement.","Future Forward is an early literacy intervention that provides individualized one-on-one tutoring and family engagement for kindergarten through 3rd grade struggling readers. The program is traditionally implemented embedded in schools, though we have piloted both virtual and hybrid implementation models for distance intervention (please note: These models have not yet been rigorously evaluated).","Tutoring Program, Academic Intervention",,"Madison, Wisconsin","Alabama, South Carolina, Wisconsin",https://futureforwardliteracy.org/,Nonprofit,2011,Reading,,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade",English,,"Tutoring staff, Other",Trained and supported Tutors and Family Engagement Coordinators with professional education or youth service backgrounds required.,In-Person,English - 100%,,250,30,3,,1:01,,"During School, Out of School","Family Engagement is a key component of the program and strongly effect's program's impact.  Trained, dedicated Family Engagement Coordinators conduct regular outreach, including publishing newsletters, hosting literacy-themed events, connecting via phone","Family Engagement is a key component of the program and strongly effect's program's impact. Trained, dedicated Family Engagement Coordinators conduct regular outreach, including publishing newsletters, hosting literacy-themed events, connecting via phone, text, and email, and conducting home visits throughout the entire calendar year.",Yes,"https://www.adi.org/journal/2018fw/JonesFall2018.pdf, https://www.tandfonline.com/doi/abs/10.1080/10824669.2020.1809419
https://uwm.edu/sreed/wp-content/uploads/sites/502/2020/10/Regression-D…","ES = + 0.122 (reading),ES = + 0.230 (reading),ES = + 0.164 (reading),ES = +0.130 (attendance)",Yes,,,"District, Parent, School",Total cost approximately $2600 per student when serving 30 children lowest performing K-3rd graders per school.,Free,
Helps Education,,"With a focus on improving educational equity and promoting a more just society, Helps Education Fund provides evidence-based programs and services that are free or low-cost and meaningfully advance student learning.","With a focus on improving educational equity and promoting a more just society, Helps Education Fund provides evidence-based programs and services that are free or low-cost and meaningfully advance student learning.","Tutoring Program, Academic Intervention, Other",We offer several evidence-based programs and services.,"Raleigh, North Carolina",North Carolina,https://www.helpseducationfund.org/,Nonprofit,2010,"Math, Reading",,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade","English, Spanish, Other",Portuguese,Other,"Nearly any trained adult can use our programs for tutoring, including a teacher, paraprofessional, tutor staff, volunteer parent, and others.","Blended, In-Person, Virtual",Diversity varies by geographic location of tutoring program.,,1000,15,3,10,1:1 or 2:4,,"During School, Out of School",,We use a variety of approaches to engage families and even offer evidence-based supplemental activities parents can use at home if they want to.,Yes,"https://ies.ed.gov/ncee/wwc/Docs/PracticeGuide/wwc_foundationalreading_…. For our HELPS Programs, there have been at least 10 published studies. Please contact us for access to these publications.",,No,,,"Nonprofit,, Parent,, School,, Student",Often free for school or district (with funding coming from foundations and grants); but our ability to offer completely free depends on our current grant funding. We sometimes ask school districts to assist with paying tutoring costs if grant funding can,We offer our programs and services for free or at the lowest possible cost in order to remove financial barriers from educators and community organizations serving students.,
Higher Achievement,,"Higher Achievement is an academic enrichment program focused on the critical middle school transition. Leveraging volunteer mentors, Higher Achievement supports its scholars year-round from 5th - 8th grade, culminating in placement in college preparatory high school programs.","Higher Achievement offers small-group academic mentoring in math and humanities/ELA for middle grade students. It has been the subject of two randomized controlled trial studies by MDRC, both of which demonstrated positive academic effects.","Tutoring Program, Academic Intervention",,Washington DC,"Maryland, Virginia, Washington DC, Virtual",http://www.higherachievement.org,Nonprofit,1975,"English Language Arts (ELA), Math, Reading",,"5th Grade, 6th Grade, 7th Grade, 8th Grade",English,,"Tutoring Staff, Volunteer",,"Blended, In-Person, Virtual","20% speak Spanish, roughly","15% Hispanic/Latino, 55% Black or African American, 30% White",600,60,3,32,1:03,,"During School, Out of School",,"Interview families before admission to Higher Achievement, family advising 3x per year to support eventual placement in college preparatory high schools and to build navigational capital.",Yes,https://www.mdrc.org/project/higher-achievement-evaluation#overview,"0,2",No,,,"District, Parent, School, Student",Varies. Roughly $1000,$0 ,
Lindamood-Bell Learning Processes,,Lindamood-Bell is committed to teaching children and adults to read and comprehend to their potential. We have dedicated ourselves to refining and researching our instruction in language and literacy processing. The result is research-validated instruction that you can believe in.,"Lindamood-Bell is an international literacy organization that offers specific evidence-based programs to address decoding and comprehension skills, thereby positively affecting academic performance. Lindamood-Bell's programs develop the sensory-cognitive processes that underlie reading and comprehension. Instruction is based on the individual's learning needs. The company delivers instruction in learning centers that are stand alone or within schools, in online environments, and in schools throughout the USA.","Tutoring Program, Other",Teacher professional development,"San Luis Obispo, California","Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, Virtual",https://lindamoodbell.com/,For Profit,1986,"Math, Reading",,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,"Teacher, Tutoring Staff",,"In-Person, Virtual",10% speak a language other than English,,,1 to 4 hours per day,4-5 days per week,Approximately 6,"1:1 and 5:1 in homogeneous groups based on diagnostic data. Whole class, developmentally",,"During School, Out of School",,Family is encouraged to be involved in the tutoring and center.,Yes,"Torgesen, J. K., Wagner, R. K., Rashotte, C. A., Herron, J., & Lindamood, P. (2010). Computer-assisted instruction to prevent early reading difficulties in students at risk for dyslexia: Outcomes from two instructional approaches. Annals of Dyslexia, 60, 40-56. doi:10.1007/s11881-009-0032-yb
  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2888606/

Olulade, O. A., Napoliello, E. M., & Eden, G. F. (2013). Abnormal visual motion processing is not a cause of dyslexia. Neuron, 79(1), 180-190. https://www.cell.com/neuron/fulltext/S0896-6273(13)00395-4

Maximo, J. O., Murdaugh, D. L., O’Kelley, S., & Kana, R. K. (2017). Changes in intrinsic local connectivity after reading intervention in children with autism. Brain and Language, 175, 11-17. https://www.researchgate.net/publication/319458178_Changes_in_intrinsic_local_connectivity_after_reading_intervention_in_children_with_autism

Murdaugh, D. L., Deshpande, H. D. & Kana, R. K. (2015). The impact of reading intervention on brain responses underlying language in children with autism. Autism Research, 9, 141-154. doi:10.1002/aur.1503

Murdaugh, D. L., Maximo, J.O., & Kana, R.K. (2015). Changes in intrinsic connectivity of the brain's reading network following intervention in children with autism. Human Brain Mapping, 36, 2965-2979. https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.22821

Krafnick, A. J., Flowers, D. L., Napoliello, E. M., & Eden, G. F. (2011). Gray matter volume changes following reading intervention in dyslexic children. Neuroimage, 57, 733-741. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3073149/",ES = +0.64,Yes,"Donnelly, P. M., Huber, E., & Yeatman, J. D. (2019). Intensive summer intervention drives linear growth of reading skill in struggling readers. Frontiers in Psychology, 10, 1900. https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01900/full

Huber, E., Donnelly, P. M., Rokem, A., & Yeatman, J. D. (2018). Rapid and widespread white matter plasticity during an intensive reading intervention. Nature Communications, 9, 2260. https://www.nature.com/articles/s41467-018-04627-5

Yeatman, J.D. & Huber, E. (2019, January 8). Sensitive periods for white matter plasticity and reading intervention. https://www.biorxiv.org/content/10.1101/346759v3 ",,"District, Parent, School","Two options:  $855/tutor for Level 1 workshop (professional learning; program kit; continuing education credits) + Level 2 online community (discussion forums; live sessions; self-paced courses; available for first year of implementation) $4,900/tutor for","Per hour, cost varies by location",
Literacy First,,Literacy First partners with school districts to ensure all children are reading at or above grade level by third grade.,"Literacy First members tutor kindergarten, 1st, and 2nd grade students through daily one-on-one sessions designed to strengthen their early reading and comprehension skills. Fifty percent of Literacy First’s tutors are bilingual, allowing the program to provide support to both Spanish and English speakers.",Tutoring Program,,"Austin, Texas",Texas,https://www.literacyfirst.org/,Nonprofit,1994,Reading,,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade","English, Spanish",,Paraprofessional,,In-Person,45% Spanish speaking,,1600,30,5,,1:01,,During School,,"We engage families through offering workshops about supporting students learning at home, and through sending home reading materials.",Yes,https://literacyfirst.org/wp-content/uploads/2019/11/AIR-Literacy-First…,.24 to .83,Yes,"https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgxwLtQMfLWmgCzK…

https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgxwLtQMfLWmgCzK…",,District,Fee for service is about $30K per campus annually,,
Math Corps,,Narrow achievement gap and help students become successful learners by the end eighth grade.,"Highly trained tutors work with pairs of students in grades 4-8, using evidence-based math interventions created by experts.

Affiliate Programs:  

Hope Network – Michigan Education Corps, https://hopenetwork.org/michigan-education-corps/

South East Education Cooperative (SEEC), https://www.ndreadingcorps.org/","Tutoring Program, Academic Intervention",,Minnesota,"California, Georgia, Michigan, Minnesota, North Dakota",https://readingandmath.org/math-corps/,Nonprofit,2008,Math,,"4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade",,,,,"In-Person, Virtual",,,"20,000",,,,2:01,,During School,,,Yes,https://www.tandfonline.com/doi/abs/10.1080/19345747.2019.1571653,0.17,,,,"School, Student",,,
Practice Makes Perfect,Narrow the opportunity gap.,Narrow the opportunity gap.,"Started as a student club at Cornell to provide summer enrichment for urban youth in NYC, now partners with K-12 schools to provide many programs including tutoring.","Tutoring Program, Technology Platform, Academic Intervention, Other","AIS, RTI, Tutoring, Push-ins, Pull-outs, After School, Saturday Academy, SAT prep, Summer Enrichment programs.","New York, New York",New York,https://practicemakesperfect.org/,For Profit,2010,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","English, Spanish, Other",Arabic,"Tutoring staff, Other","We train college students, graduate students, and recent graduates in tutoring and intervention strategies.","In-Person, Virtual","100% speak English; 50% bilingual (English/Spanish, English/Arabic, English/Mandarin, English/Other)","Hispanic or Latino- 20%, Asian 20%, Black or African American 30%, White 25%",20000+,,,,1:1 up to 5:1,,"During School, Out of School",,"Surveys, weekly email outreach to parents soliciting quality of sessions, and frequent outreach from Interventionists/Tutors to parents.",Yes,Results not ye published (disrupted by COVID),,No,,,"Parent, School, Student","Varies; Avg. school contract is $45k; however, contracts range from $5k - $250k based on students served; Parent contracts for Private tutoring start at ~$200 per month for weekly services.",Free,
Reading Corps,"All children will become proficient readers by third grade, to have the skills they need to thrive in school and life.","All children will become proficient readers by third grade, to have the skills they need to thrive in school and life.","Reading Corps combines the people power of AmeriCorps and the science of how children learn to read. Trained AmeriCorps members are placed in early learning centers and elementary schools statewide to serve as literacy tutors for children from age 3 to grade 3. Tutors work with children one-on-one and in small groups daily, providing literacy interventions that are tailored to each learner's needs.

Affiliate Programs:  

Hope Network – Michigan Education Corps, Reading & Math, Inc., https://hopenetwork.org/michigan-education-corps/

The Literacy Lab, https://theliteracylab.org/

South East Education Cooperative (SEEC), https://www.ndreadingcorps.org/

Colorado Youth for a Change, https://youthforachange.org/join-americorps/join-americorps-colorado-re…

United Ways of Iowa, https://www.uwiowa.org/ReadingCorpsSchools","Tutoring Program, Other",Intensive reading tutoring.,"Minneapolis, Minnesota","California, Colorado, Florida, Iowa, Maryland, Massachusetts, Minnesota, Missouri, Virginia, Washington DC, Wisconsin",http://www.readingcorps.org/,Nonprofit,2003,Reading,,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade",English,,Paraprofessional,,In-Person,"English only = 87%, Spanish = 8%, French = 2%, Somali = 1%, Hmong = 1%, German = 1%","Hispanic or Latino- 7 %, American Indian or Alaska Native 1%, Asian 5%, Black or African American 12%, White 73%",36000,20,5,16,1:01,,,,Program tutors send home literacy activities that complement and extend in-school tutoring activities.,Yes,"https://www.nationalservice.gov/sites/default/files/documents/Impact_Ev…, https://www.nationalservice.gov/sites/default/files/documents/03-2015_P…, https://1kvjxp28gemz2aa4gi2qmxxh-wpengine.netdna-ssl.com/wp-content/upl…, https://static1.squarespace.com/static/56df566af699bb94c7a3a189/t/5c37b…",,Yes,Not yet available.,,School,Free,Free,
